title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Wizard of Oz,MOVIE,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1939,102,"['fantasy', 'family']",8.1,41.442,HBO Max
Citizen Kane,MOVIE,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941,119,['drama'],8.3,14.383,HBO Max
Casablanca,MOVIE,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1942,102,"['drama', 'romance', 'war']",8.5,20.087,HBO Max
The Big Sleep,MOVIE,"Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.",1946,116,"['thriller', 'crime']",7.9,12.911,HBO Max
The Maltese Falcon,MOVIE,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",1941,100,"['thriller', 'romance', 'crime']",8.0,12.788,HBO Max
Gone with the Wind,MOVIE,"The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War.",1939,233,"['war', 'romance', 'drama', 'history']",8.2,24.092,HBO Max
Tom and Jerry,SHOW,"Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.",1940,8,"['animation', 'comedy', 'family', 'action']",7.7,1.4,HBO Max
The Treasure of the Sierra Madre,MOVIE,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948,126,"['western', 'drama']",8.2,14.006,HBO Max
The Asphalt Jungle,MOVIE,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",1950,112,"['drama', 'thriller', 'crime']",7.8,9.809,HBO Max
The Philadelphia Story,MOVIE,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society.",1940,113,"['romance', 'comedy']",7.9,11.587,HBO Max
