title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Saturday Night Live,SHOW,"A late-night live television sketch comedy and variety show created by Lorne Michaels. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory and newer cast members. Each episode is hosted by a celebrity guest, who usually delivers an opening monologue and performs in sketches with the cast, and features performances by a musical guest.",1975,89,"['music', 'comedy']",8.0,54.345,Hulu
M*A*S*H,SHOW,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.",1972,26,"['war', 'comedy', 'drama']",8.4,27.308,Hulu
I Love Lucy,SHOW,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951,30,"['comedy', 'family']",8.5,17.088,Hulu
Taxi,SHOW,"Louie De Palma is a cantankerous, acerbic taxi dispatcher in New York City. He tries to maintain order over a collection of varied and strange characters who drive for him. As he bullies and insults them from the safety of his “cage,” they form a special bond among themselves, becoming friends and supporting each other through the inevitable trials and tribulations of life.",1978,25,"['drama', 'comedy']",7.7,14.346,Hulu
The Mary Tyler Moore Show,SHOW,"30-year-old single Mary Richards moves to Minneapolis to start a new life after a romantic break-up. There she reacquaints with Phyllis who rents her a room, and meets her upstairs neighbor and new best friend Rhoda. Mary unexpectedly lands a job as associate producer at the TV station WJM, where she works alongside her bristly boss, Lou; the comical newswriter, Murray; and the newscast's often-incompetent anchor, Ted.",1970,28,['comedy'],8.2,9.29,Hulu
The Brady Bunch,SHOW,"When widower Mike Brady marries a lovely lady widow Carol Ann, their two families become one. These are the misadventures of this new couple, their six children, a dog named Tiger, and quirky housekeeper Alice.",1969,25,"['comedy', 'family']",6.7,15.042,Hulu
The Bob Newhart Show,SHOW,"The Bob Newhart Show is an American situation comedy produced by MTM Enterprises, which aired 142 original episodes on CBS from September 16, 1972, to April 1, 1978. Comedian Bob Newhart portrays a psychologist having to deal with his patients and fellow office workers. The show was filmed before a live audience.",1972,27,['comedy'],8.1,14.2,Hulu
Lost in Space,SHOW,"The space family Robinson is sent on a five-year mission to find a new planet to colonise. The voyage is sabotaged time and again by an inept stowaway, Dr. Zachary Smith. The family's spaceship, Jupiter II, also carries a friendly robot who endures an endless stream of abuse from Dr. Smith, but is a trusted companion of young Will Robinson",1965,50,"['scifi', 'comedy', 'family', 'fantasy']",5.7,30.079,Hulu
The Odd Couple,SHOW,"The Odd Couple is a television situation comedy broadcast from September 24, 1970 to March 7, 1975 on ABC. It stars Tony Randall as Felix Unger and Jack Klugman as Oscar Madison, and was the first of several developed by Garry Marshall for Paramount Television. The show is based upon the play of the same name, which was written by Neil Simon.

Felix and Oscar are two divorced men. Felix is neat and tidy while Oscar is sloppy and casual. They share a Manhattan apartment, and their different lifestyles inevitably lead to conflicts and laughs.

In 1997, the episodes ""Password"" and ""The Fat Farm"" were ranked #5 and #58 on TV Guide's 100 Greatest Episodes of All Time. The show received three nominations for the Primetime Emmy Award for Outstanding Comedy Series. Its fourth season, from 1973–74, remains the most recent nominee for a show that aired during a Friday time slot.",1970,27,['comedy'],7.9,10.61,Hulu
The Lorax,MOVIE,"The Once-ler, a ruined industrialist, tells the tale of his rise to wealth and subsequent fall, as he disregarded the warnings of a wise old forest creature called the Lorax about the environmental destruction caused by his greed.",1972,25,"['comedy', 'animation', 'drama', 'family', 'fantasy']",7.9,8.834,Hulu
Name That Tune,SHOW,"Name That Tune is an American television game show that put two contestants against each other to test their knowledge of songs. Premiering in the United States on NBC Radio in 1952, the show was created and produced by Harry Salter and his wife Roberta.

Name That Tune ran from 1953–1959 on NBC and CBS in prime time. The first hosts were Red Benson and later Bill Cullen, but George DeWitt became most identified with the show.

Richard Hayes also emceed a local edition from 1970–1971, which ran for 26 weeks in a small number of markets. However, the best-remembered syndicated Name That Tune aired once a week from 1974–1981 with host Tom Kennedy. The series was revived for daily syndication in 1984, and its lone season was hosted by Jim Lange. For the last two of these series, John Harlan served as announcer.

The centerpiece of each Name That Tune series was an orchestra, which would play the songs for the contestants to guess. The syndicated series' orchestras were conducted by Bob Alberti, Tommy Oliver, and Stan Worth. A second band, Dan Sawyer and the Sound System, was also featured from 1978–1981. Beginning in 1976 and continuing for the remainder of the weekly syndicated series, as well as for the entire 1984 run, the show's title became The $100,000 Name That Tune.",1952,43,"['music', 'family']",6.8,0.6,Hulu
The Lucy Show,SHOW,"The Lucy Show is an American sitcom that aired on CBS from 1962–68. It was Lucille Ball's follow-up to I Love Lucy. A significant change in cast and premise for the 1965–66 season divides the program into two distinct eras; aside from Ball, only Gale Gordon, who joined the program for its second season, remained. For the first three seasons, Vivian Vance was the co-star.

The earliest scripts were entitled The Lucille Ball Show, but when this title was declined, producers thought of calling the show This Is Lucy or The New Adventures of Lucy, before deciding on the title The Lucy Show. Ball won consecutive Emmy Awards as Outstanding Lead Actress in a Comedy Series for the series' final two seasons, 1966–67 and 1967–68.",1962,30,['comedy'],7.2,8.858,Hulu
A Boy Named Charlie Brown,MOVIE,"Poor Charlie Brown. He can't fly a kite, and he always loses in baseball. Having his faults projected onto a screen by Lucy doesn't help him much either. Against the sage advice and taunting of the girls in his class, he volunteers for the class spelling bee...and wins!",1969,86,"['animation', 'comedy', 'family', 'drama']",7.3,8.118,Hulu
"Snoopy, Come Home",MOVIE,"When Snoopy receives a letter from his original owner Lila, he goes to visit her in the hospital while Charlie Brown and the gang are on the lookout for him. Suddenly, Snoopy feels that he must go live with Lila, but must say goodbye to all his friends. In his adventure to the hospital, he encounters numerous ""No Dogs Allowed"" signs, an annoying little girl who desires to keep him, and more!",1972,81,"['animation', 'drama', 'family', 'music', 'comedy']",7.4,6.63,Hulu
The Cat in the Hat,MOVIE,"In a marvelously animated version of one of the most beloved of all Dr. Seuss tales, two youngsters find themselves at home with nothing to do on a rainy afternoon. But when the magical, mischievous Cat in the Hat arrives on the scene, they're all cat-apulted into a day of rousing, romping, outlandish antics they - and you - will never forget!",1971,25,"['family', 'animation', 'comedy', 'fantasy']",7.3,2.979,Hulu
Dr. Seuss on the Loose,MOVIE,"The pressure to conform, the inevitability of change, and the resistance to trying something new form the basis for the usual madcap adventures associated with the creative mind of Dr. Seuss. ""Dr. Seuss on the Loose"" builds upon three short stories - ""The Sneetches,"" ""The Zax"" and ""Green Eggs and Ham"" - to create a thematic trio that explores the often fickle and flexible world of attitudes.",1973,25,"['family', 'animation', 'comedy']",7.7,4.353,Hulu
Law & Order,SHOW,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",1990,54,"['drama', 'crime', 'thriller']",7.8,108.194,Hulu
